Identification Number,Room Assignment for Day 1,Room Assignment for Day 2,Outlook 1,Outlook 2,Proposal 1,Proposal 2,Proposal 3,Proposal 4,Proposal 5,Proposal 6,Proposal 7,Proposal 8,Proposal 9,Proposal 10,Proposal 11,Proposal 12,Motivations 1,Motivations 2,Motivations 3,Motivations 4,Motivations 5,Motivations 6,Motivations 7,Motivations 8,Motivations 9,Motivations 10,Motivations 11,Motivations 12,Motivations 13,Motivations 14,Motivations 15,Motivations 16,Motivations 17,Motivations 18,Motivations 19,Motivations 20,Motivations 21,Motivations 22,Motivations 23,Motivations 24,Motivations 25,Motivations 26,Motivations 27,Motivations 28,Motivations 29,Motivations 30,Motivations 31,Motivations 32,Motivations 33,Values 1,Values 2,Values 3,Values 4,Values 5,Values 6,Values 7,Values 8,Values 9,Mutual Respect 1,Mutual Respect 2,Mutual Respect 3,Mutual Respect 4,Mutual Respect 5,Mutual Respect 6,Political Efficacy 1,Political Efficacy 2,Political Efficacy 3,Political Efficacy 4,Political Efficacy 5,Political Efficacy 6,Political Efficacy 7,Political Efficacy 8,Knowledge 1,Knowledge 2,Knowledge 3,Knowledge 4,Knowledge 5,Knowledge 6,Knowledge 7,Knowledge 8,Knowledge 9,Knowledge 10,Knowledge 11,Evaluation 1,Evaluation 2,Evaluation 3,Evaluation 4,Evaluation 5,Evaluation 6,Evaluation 7,Evaluation 8,Evaluation 9,View of the Democratic Party,View of the Republican Party,View of Congress,View of the President,Overall,Registered to Vote,Voted Before,Political Party Preference,Independent Party Lean,Democratic Party Loyalty,Republican Party Loyalty,Region,Gender,Race and Ethnicity,Education Category,Enrollment Status,University Type,Employment Status,Household Income Level,Interest in Political Issues (Before Deliberation),Interest in Political Issues (After Deliberation),Interest in Social Issues (Before Deliberation),Interest in Social Issues (After Deliberation),Economic Situation (Before Deliberation),Economic Situation (After Deliberation),Read the News on the Internet,Talked with Others about Politics,Use of Social Media for News,Household Income Level (Scale),Political Ideology (Scale),Political Ideology (Scale) (After Deliberation),Age (Scale)
516,20210501-shapefuture-a-session2-r,20210502-shapefuture-a-session2-s,5,8,9,5,5,7,9,6,1,6,2,4,3,9,7,7,9,9,9,6,6,6,6,9,7,7,5,7,7,7,4,,1,1,9,7,7,5,2,6,5,7,1,2,7,6,8,8,9,6,9,8,5,7,5,9,5,6,5,7,7,9,4,2,4,7,7,6,6,10,1,1,1,0,0,1,0,1,1,1,1,10,3,8,9,8,8,10,8,9,74,28,44,74,,1,1,1,,2,,2,1,3,2,2,2,4,,2,2,2,1,5,3,3,2,2,8,3,3,
517,20210501-shapefuture-b-session2-d,20210502-shapefuture-b-session2-a,4,8,1,0,2,1,0,4,10,0,,,,2,0,0,0,8,7,0,9,8,9,0,0,6,6,6,6,6,1,9,4,,1,5,0,6,5,0,,,5,7,1,1,8,7,4,5,4,1,10,10,3,7,9,7,1,7,10,10,2,1,4,,5,4,5,7,1,1,1,1,1,1,0,1,1,1,1,10,0,9,7,0,2,4,5,4,3,6,1,6,,1,1,2,3,,,1,2,1,2,2,1,1,6,1,2,1,2,2,1,7,5,5,6,6,6,
518,20210501-shapefuture-a-session1-a,20210502-shapefuture-a-session1-g,6,6,5,5,5,5,6,6,5,6,7,5,6,5,4,3,3,1,6,5,6,6,7,5,7,6,5,6,6,6,5,4,5,7,5,5,5,4,4,5,7,6,4,5,5,6,1,4,4,3,6,6,7,6,6,4,4,6,6,5,5,3,0,3,6,5,3,2,2,4,1,0,1,0,0,1,0,0,1,1,1,8,8,7,8,8,7,8,7,6,52,74,40,15,,1,1,3,,,2,1,1,1,2,2,1,4,7,4,4,4,4,5,4,3,0,3,7,6,5,
519,20210501-shapefuture-a-session1-q,20210502-shapefuture-a-session1-i,5,10,9,6,3,10,3,7,3,8,1,3,4,5,8,7,8,4,5,6,8,5,5,8,7,5,4,7,8,10,3,3,0,0,10,10,8,3,0,6,2,5,3,1,10,5,4,10,8,10,10,10,3,10,2,9,4,4,0,9,4,3,3,3,7,10,7,5,4,10,1,1,1,1,1,1,0,1,1,1,1,9,5,5,8,1,8,6,7,8,37,1,12,36,,1,1,1,,2,,2,1,1,2,2,1,1,6,2,2,1,1,3,4,4,7,2,6,1,1,
520,,,5,7,8,6,7,5,8,6,8,3,2,7,9,3,4,6,9,0,7,5,5,6,7,8,6,0,0,4,0,6,4,9,4,6,7,2,2,3,9,3,3,2,7,10,10,0,0,7,8,8,8,5,10,9,10,10,0,0,0,8,2,6,5,0,0,7,6,9,10,10,1,1,1,0,1,1,0,1,1,1,1,10,10,10,10,10,6,3,3,7,38,72,58,33,,1,1,3,,,2,1,1,5,2,2,1,4,7,2,2,2,2,2,1,1,1,1,7,7,7,
521,20210501-shapefuture-a-session2-f,20210502-shapefuture-a-session2-e,7,10,9,8,2,10,5,10,0,10,0,6,7,7,9,9,10,2,9,7,9,9,9,10,10,10,6,8,10,10,1,3,1,0,8,10,8,4,0,10,8,5,0,0,10,6,5,10,10,10,10,10,8,10,7,10,4,10,3,1,8,8,6,0,7,10,10,10,8,10,1,1,1,1,1,1,1,1,1,1,1,10,9,10,10,10,10,10,8,10,80,0,60,90,,1,1,1,,1,,1,1,1,2,2,1,4,6,1,1,1,1,4,3,6,7,1,6,8,2,
522,20210501-shapefuture-a-session2-j,20210502-shapefuture-a-session2-h,3,10,9,10,8,6,2,7,1,7,0,8,2,8,5,7,9,2,9,3,10,6,5,8,6,6,5,5,5,10,0,7,2,1,9,9,9,6,1,8,9,8,1,3,10,10,10,9,9,8,8,8,,10,5,10,8,8,8,4,10,9,3,3,5,7,9,9,7,10,0,1,1,1,1,1,1,1,0,0,1,7,6,7,8,10,8,9,7,7,43,20,49,49,,1,1,1,,2,,2,1,1,2,2,1,4,6,1,1,2,2,3,3,6,3,3,6,3,3,
523,20210501-shapefuture-a-session2-n,20210502-shapefuture-a-session2-p,6,8,6,8,9,9,8,9,2,8,6,3,3,7,6,7,8,8,9,9,8,9,8,5,7,8,8,7,9,8,3,8,6,2,9,8,9,3,8,7,8,7,1,2,10,3,2,9,10,10,9,4,4,10,6,10,0,3,1,9,6,1,4,7,3,8,4,7,7,10,0,0,1,1,1,1,0,0,0,1,1,9,5,8,8,7,9,5,4,6,41,3,,30,,1,1,1,,2,,2,2,1,2,2,2,1,,2,2,2,2,2,1,3,0,3,8,0,2,
524,20210501-shapefuture-a-session1-f,20210502-shapefuture-a-session1-a,6,8,9,7,5,10,8,10,0,7,0,7,0,10,8,8,10,6,10,7,7,5,6,10,8,6,3,3,6,10,2,3,1,0,10,7,7,4,0,8,8,10,0,1,8,7,4,10,8,10,8,7,6,10,9,10,5,8,7,8,10,7,3,5,6,8,6,8,6,7,1,1,1,0,1,1,1,1,1,1,1,9,6,10,10,7,9,9,8,9,64,20,54,35,,2,2,2,1,,,1,2,1,2,2,1,1,,3,2,2,2,3,3,2,0,4,8,3,3,
525,20210501-shapefuture-a-session1-a,20210502-shapefuture-a-session1-m,6,5,6,7,10,3,3,3,4,7,2,5,8,3,7,7,7,4,7,7,7,7,7,10,10,10,5,5,5,4,4,4,6,4,9,5,2,10,6,3,7,2,5,5,5,2,2,5,5,6,5,7,7,7,7,8,7,7,5,4,7,8,7,3,2,3,6,8,9,9,0,1,1,0,0,1,0,1,0,0,1,8,5,8,8,9,8,8,8,8,80,20,67,57,,1,1,3,,,2,2,2,5,2,2,1,5,6,2,1,1,1,3,3,7,2,3,6,7,7,
526,20210501-shapefuture-a-session2-v,20210502-shapefuture-a-session2-u,7,9,3,7,7,2,2,7,10,1,5,4,3,10,,3,7,1,5,,7,5,,7,7,7,7,8,7,9,2,6,1,1,3,5,2,,5,1,5,10,9,8,8,2,2,9,7,9,9,7,7,9,5,7,5,7,5,10,2,3,2,0,5,8,6,10,10,10,1,1,1,0,1,1,1,1,0,1,1,10,7,6,8,8,10,10,10,10,50,50,40,40,,1,1,2,3,,,1,1,1,2,2,2,5,7,2,2,1,1,3,3,8,4,3,7,6,6,
527,20210501-shapefuture-a-session1-d,20210502-shapefuture-a-session1-n,6,10,8,7,8,10,8,10,1,9,1,8,6,7,10,7,6,7,8,4,8,7,,7,7,7,5,4,6,10,6,9,4,4,9,8,7,6,2,6,5,5,1,3,10,6,6,10,10,10,4,10,9,9,8,10,5,6,3,6,7,5,4,5,5,9,9,10,10,10,0,1,1,1,1,1,1,1,0,1,1,10,7,7,9,10,10,9,9,9,77,26,74,50,,1,1,1,,1,,1,1,5,2,2,2,1,7,1,1,1,1,2,1,5,2,4,7,2,2,
528,20210501-shapefuture-a-session1-m,20210502-shapefuture-a-session1-f,4,8,1,3,8,7,0,2,3,0,3,8,2,8,2,2,3,0,6,1,8,5,7,5,5,5,5,5,10,5,1,5,6,0,4,7,1,7,3,2,8,7,4,3,2,2,2,9,7,1,4,3,7,8,,10,7,3,3,10,10,7,2,1,1,8,8,8,1,8,1,1,1,1,1,1,1,1,0,1,1,8,6,7,5,10,10,3,8,10,15,15,15,20,,1,1,2,4,,,1,2,1,2,2,1,4,7,2,1,3,3,2,1,8,5,3,7,7,7,
529,20210501-shapefuture-a-session2-n,20210502-shapefuture-a-session2-g,4,10,10,7,10,10,10,10,1,5,0,6,0,10,10,10,10,3,10,,10,7,8,10,8,6,10,5,10,8,2,5,0,0,10,5,10,1,2,7,5,10,0,3,10,10,10,10,10,10,10,6,4,9,3,10,10,6,5,10,10,10,5,8,6,10,10,10,3,10,0,1,1,0,1,1,1,1,0,1,1,10,8,10,10,10,10,5,10,10,60,10,40,50,,1,1,2,1,,,2,1,1,2,2,2,1,1,2,2,1,1,4,4,6,4,2,1,0,0,
530,20210501-shapefuture-a-session2-l,20210502-shapefuture-a-session2-h,4,10,10,10,3,9,3,10,0,7,0,6,5,10,7,9,10,8,8,8,10,10,10,6,8,8,2,4,7,10,0,0,0,0,7,10,7,0,0,8,7,10,0,0,10,10,10,10,10,8,9,10,2,8,5,9,8,8,8,5,3,9,0,2,5,10,9,8,5,10,1,1,1,1,1,1,0,1,1,1,1,7,2,8,7,5,10,10,9,10,67,20,28,82,,1,1,1,,2,,1,1,1,2,2,1,1,5,2,1,1,1,3,3,6,4,2,5,2,3,
531,20210501-shapefuture-a-session1-c,20210502-shapefuture-a-session1-c,0,10,9,10,7,10,9,10,0,10,0,9,3,8,10,10,10,7,8,10,8,5,6,10,9,7,,8,8,10,2,0,3,2,10,10,7,2,0,8,7,7,0,0,10,8,8,10,10,10,9,10,2,10,5,8,9,9,9,4,8,4,2,3,7,8,8,8,6,10,1,1,1,1,1,1,1,1,0,1,1,9,3,2,2,6,4,7,5,5,28,0,13,15,,1,1,1,,1,,2,2,1,2,2,1,4,,1,1,1,1,5,4,8,7,2,8,0,0,
532,20210501-shapefuture-a-session1-o,20210502-shapefuture-a-session1-d,4,7,3,5,6,4,0,10,2,8,2,4,2,10,7,5,6,0,7,3,5,5,5,8,6,4,3,9,7,7,6,4,5,4,7,8,3,4,3,8,6,10,1,6,8,3,2,8,6,9,9,7,6,7,5,9,4,8,5,6,8,7,4,3,5,10,10,10,6,10,1,1,1,1,1,1,1,1,1,0,1,10,10,6,7,6,7,7,5,8,75,15,55,85,,1,1,2,1,,,1,2,2,2,2,1,1,3,2,1,1,2,5,5,8,3,4,3,3,3,
533,20210501-shapefuture-a-session1-g,20210502-shapefuture-a-session1-e,4,8,4,9,4,5,5,5,3,7,3,7,4,7,8,8,8,0,8,8,5,2,8,8,8,8,5,5,8,9,3,6,2,2,10,10,8,8,1,7,8,8,2,2,10,0,0,10,10,10,10,10,,10,10,10,,,,8,,,0,3,3,,6,3,0,3,0,0,1,0,1,1,1,0,0,0,1,10,10,10,10,10,10,10,10,10,51,42,,1,,1,2,4,1,,,1,1,1,2,2,1,5,1,3,2,1,1,5,5,1,0,3,1,4,4,
534,20210501-shapefuture-a-session2-m,,6,10,7,7,10,10,8,10,4,8,4,8,,6,8,7,9,3,6,7,4,6,5,6,,5,4,,4,9,2,7,6,6,8,10,9,9,2,7,8,6,2,3,10,5,,10,10,10,10,10,9,10,5,9,7,8,6,4,8,7,6,4,6,7,5,4,5,7,0,1,1,1,1,1,1,1,0,0,0,6,4,8,8,7,7,7,6,7,80,15,,65,,1,1,1,,1,,1,1,3,2,2,3,1,5,3,2,3,3,3,3,1,2,2,5,2,3,
535,20210501-shapefuture-a-session1-j,20210502-shapefuture-a-session1-g,5,10,10,10,10,5,7,10,5,7,6,8,5,8,10,10,10,,10,,10,,,10,10,10,10,10,10,10,5,6,0,0,7,9,10,6,,,8,8,5,8,10,10,10,10,10,10,10,10,,10,,10,5,5,5,5,5,5,4,6,8,10,10,7,10,10,1,1,1,0,1,1,0,0,0,0,1,10,10,10,10,10,10,10,10,10,,,,,,1,1,1,,2,,1,1,2,2,2,1,5,1,2,2,1,1,4,4,1,0,2,1,5,5,
536,20210501-shapefuture-b-session1-e,20210502-shapefuture-b-session1-b,7,7,2,4,2,2,1,1,5,2,2,8,2,8,6,7,4,5,7,,8,3,7,8,8,2,5,6,7,7,3,8,5,3,7,2,3,1,5,2,7,8,6,4,5,2,4,8,5,3,4,2,5,4,7,8,8,6,7,4,8,9,1,1,10,6,5,7,0,5,1,1,1,0,0,1,0,0,0,1,1,10,0,2,5,1,6,2,7,6,9,30,20,20,,2,2,2,3,,,1,2,1,2,2,1,4,4,3,3,4,3,5,5,5,1,2,4,6,6,
537,20210501-shapefuture-b-session2-b,20210502-shapefuture-b-session2-e,4,6,6,7,4,10,2,10,0,7,0,6,3,9,10,10,10,0,10,8,6,5,6,6,4,2,6,7,7,7,0,8,7,2,10,10,7,0,0,7,2,8,0,0,10,1,2,10,10,10,6,10,2,7,0,8,7,10,3,2,8,6,3,6,3,10,10,9,5,10,1,0,1,1,1,1,1,1,0,1,1,9,7,,8,3,6,3,6,7,60,1,31,61,,1,1,1,,2,,1,1,2,2,2,1,4,6,2,2,1,1,2,1,3,3,2,6,2,1,
538,20210501-shapefuture-a-session1-a,20210502-shapefuture-a-session1-d,5,3,3,6,0,0,0,9,0,0,0,10,5,6,5,5,1,1,6,1,8,3,2,0,0,10,10,10,10,0,0,0,0,0,7,5,10,10,5,0,10,5,0,0,10,7,7,9,9,9,9,9,5,9,9,9,10,10,10,5,7,7,1,10,0,10,10,7,10,10,1,1,1,1,1,1,1,0,0,0,1,10,5,10,10,8,10,10,10,10,3,3,4,3,,1,1,4,3,,,2,2,1,2,2,3,4,5,2,1,2,1,3,4,8,7,1,5,5,7,
539,20210501-shapefuture-a-session2-g,20210502-shapefuture-a-session2-d,4,8,10,8,10,10,0,9,5,6,5,4,4,8,10,10,10,9,9,7,9,10,10,10,10,10,10,10,10,10,0,1,4,4,10,10,10,8,1,7,6,6,4,5,10,6,7,10,10,10,10,10,1,7,6,10,5,4,2,5,4,4,4,7,7,10,5,8,7,8,0,1,1,0,1,1,0,1,0,0,1,10,10,8,10,10,10,5,8,8,55,45,50,65,,1,2,1,,2,,1,1,1,2,2,1,1,,2,2,1,2,2,1,7,1,3,8,4,4,
540,20210501-shapefuture-b-session2-j,20210502-shapefuture-b-session2-i,3,8,10,9,5,7,8,9,1,7,1,5,7,10,6,8,10,7,9,7,9,10,7,9,8,8,5,6,7,8,5,5,0,0,8,6,8,,1,7,8,10,1,1,10,1,2,9,9,8,8,8,2,6,5,10,6,8,3,5,7,6,2,3,5,8,7,7,3,10,1,1,1,1,1,1,1,1,0,0,1,10,9,9,9,7,9,9,7,8,75,10,50,50,,1,1,1,,1,,1,3,4,2,2,2,4,6,2,2,2,1,3,4,8,5,2,6,3,2,
541,20210501-shapefuture-a-session2-k,,7,9,,,7,0,0,6,7,0,6,5,6,0,6,5,5,7,6,,,,5,10,10,8,5,5,4,8,4,3,6,4,3,5,0,6,0,0,0,0,,5,4,3,2,4,6,4,4,,4,3,,7,,,,,8,8,6,0,0,6,6,6,7,10,1,0,1,1,1,1,0,1,0,0,1,5,5,5,4,6,4,6,7,5,57,27,50,63,,1,1,1,,2,,1,1,1,2,2,2,4,1,2,2,3,4,3,3,3,3,4,1,5,5,
542,20210501-shapefuture-b-session2-g,20210502-shapefuture-b-session2-g,7,8,,6,5,4,2,2,8,0,3,8,7,0,2,9,6,0,8,0,9,7,9,0,4,7,7,8,8,8,6,10,7,8,6,5,0,7,6,4,4,4,6,8,3,8,8,10,4,8,8,5,10,10,10,10,0,0,0,0,7,3,2,0,6,7,8,8,10,10,1,1,1,0,1,0,0,1,0,1,0,10,10,1,6,6,10,10,10,10,,,,,,,,,,,,,2,3,2,2,2,,,,2,,2,,4,,,,,,6,
543,20210501-shapefuture-b-session1-d,20210502-shapefuture-b-session1-c,6,8,1,9,10,2,2,0,2,6,2,10,0,10,6,7,7,5,9,1,7,2,6,7,6,5,3,6,4,3,3,7,6,6,7,7,2,0,3,5,6,10,0,4,0,1,2,8,9,8,6,8,8,7,4,9,6,6,6,6,4,5,6,3,3,7,7,5,6,10,1,1,1,1,1,1,1,1,1,1,1,10,7,0,8,1,8,6,2,7,55,15,25,85,,1,1,1,,2,,1,2,1,2,2,2,5,3,1,1,2,2,2,1,8,3,4,3,3,4,
544,20210501-shapefuture-b-session2-b,20210502-shapefuture-b-session2-a,6,8,5,6,5,3,4,7,3,8,6,4,6,8,7,6,8,4,5,4,6,6,5,8,8,8,6,4,6,6,4,3,5,5,7,8,8,7,2,7,4,8,3,5,9,3,3,10,10,5,5,6,6,7,5,8,7,6,3,7,8,7,5,8,3,8,5,5,8,10,0,1,1,0,1,1,0,0,0,1,1,7,4,7,8,8,7,7,6,7,73,48,60,61,,1,1,1,,2,,2,1,3,2,2,2,1,6,3,2,1,2,3,3,2,0,2,6,3,3,
545,20210501-shapefuture-b-session2-j,,7,10,10,10,,10,5,10,1,10,1,8,1,10,10,10,10,5,10,5,10,8,10,10,10,10,10,10,10,10,1,5,1,1,10,8,10,3,0,9,8,10,0,1,10,5,5,10,10,9,9,10,0,8,0,10,4,7,4,9,10,7,6,0,6,10,10,9,9,10,1,1,1,0,0,1,0,1,1,0,1,10,7,8,9,8,9,8,10,9,75,20,70,75,,1,1,1,,2,,1,1,1,2,2,2,1,3,2,1,1,1,3,3,8,7,3,3,0,0,
546,20210501-shapefuture-a-session1-g,20210502-shapefuture-a-session1-d,5,9,7,7,5,5,8,8,5,7,4,8,5,7,6,6,7,3,8,5,8,5,5,7,7,7,6,6,6,6,4,4,2,2,6,8,9,6,2,6,6,6,3,5,9,8,8,9,9,9,9,8,5,8,7,9,6,6,5,7,7,6,6,2,2,9,7,7,6,10,1,1,1,1,1,1,1,1,1,1,1,9,7,7,9,8,8,8,8,8,73,28,50,61,,1,1,1,,2,,1,1,1,2,2,2,4,7,1,1,1,1,2,1,4,2,2,7,2,3,
547,20210501-shapefuture-a-session1-e,20210502-shapefuture-a-session1-b,6,9,7,6,10,8,6,8,1,9,4,7,4,8,9,7,9,4,9,2,8,8,5,7,8,9,4,3,9,10,4,5,2,2,8,8,9,2,2,7,5,8,2,3,10,9,9,10,9,9,7,7,4,8,2,8,2,6,3,7,8,8,6,2,5,8,9,7,7,10,1,1,1,1,1,1,1,1,1,1,1,10,6,8,8,9,9,9,8,10,80,20,60,64,,1,1,1,,1,,1,1,5,2,2,1,5,6,1,1,1,1,3,3,8,7,2,6,2,3,
548,20210501-shapefuture-a-session2-u,20210502-shapefuture-a-session2-u,0,7,7,10,10,10,0,10,0,10,0,5,2,9,10,10,10,0,10,10,6,6,,10,7,5,10,4,2,6,0,0,0,0,10,10,10,0,0,5,4,4,0,0,10,6,9,10,10,6,6,10,0,7,7,7,8,6,3,7,10,5,0,8,3,10,10,7,2,10,1,1,1,1,1,1,0,1,0,0,1,10,3,10,10,6,10,10,6,10,30,5,20,10,,1,1,1,,2,,1,1,2,2,2,2,4,6,3,3,1,1,4,3,4,0,2,6,0,0,
549,20210501-shapefuture-a-session2-p,,7,6,6,5,8,8,4,7,5,6,6,4,6,4,10,7,7,2,7,7,5,1,4,7,7,7,5,7,7,7,4,3,4,6,9,7,7,8,2,5,4,5,3,5,8,3,3,7,10,7,7,8,4,7,5,8,4,3,6,3,8,7,2,7,6,4,6,6,9,9,1,1,1,0,0,1,0,0,0,0,0,10,10,10,10,10,9,9,9,9,73,15,37,47,,1,1,1,,1,,1,1,2,2,2,2,4,4,2,2,1,1,3,3,6,6,2,4,5,5,
550,20210501-shapefuture-a-session2-w,20210502-shapefuture-a-session2-h,6,7,6,2,3,3,6,5,7,0,4,6,5,5,6,6,6,4,7,2,7,6,6,6,6,6,6,6,6,8,4,5,4,4,7,3,5,6,4,0,5,5,8,8,5,4,6,7,6,6,7,5,6,6,5,8,2,2,2,8,5,6,3,1,4,3,6,6,6,9,1,1,1,0,1,1,0,1,0,1,1,7,6,7,7,7,6,6,4,7,39,39,39,20,,1,1,2,2,,,1,2,1,2,2,1,4,6,1,1,3,3,4,4,8,4,4,6,6,6,
551,20210501-shapefuture-a-session1-l,,7,8,8,7,9,8,2,10,0,10,6,4,3,7,8,9,10,7,8,5,7,8,3,4,8,8,3,8,6,4,4,2,3,4,8,10,10,1,0,9,4,5,0,0,10,7,7,10,8,9,10,9,3,10,1,8,2,8,2,8,5,2,7,2,5,10,7,10,2,10,1,1,1,1,1,1,0,1,1,1,1,10,3,7,7,8,7,3,4,7,93,7,16,55,,1,1,1,,1,,1,2,1,2,2,1,4,,1,1,1,1,2,1,7,4,4,8,2,2,
552,20210501-shapefuture-a-session2-s,20210502-shapefuture-a-session2-j,7,8,6,3,1,5,6,6,4,6,1,,7,6,,5,10,0,6,,7,,,6,6,6,0,5,9,1,2,3,0,0,6,9,,0,1,2,8,2,4,3,,5,9,10,10,6,4,3,6,6,,8,8,9,1,9,7,7,7,2,4,8,10,9,7,10,1,1,1,1,1,1,1,1,1,1,1,10,1,5,9,10,10,2,7,9,91,23,50,88,,1,1,1,,2,,1,2,1,2,2,1,4,,1,1,1,1,2,3,7,5,2,8,3,3,
553,20210501-shapefuture-a-session2-g,20210502-shapefuture-a-session2-i,5,8,7,7,5,10,8,4,2,6,1,9,1,9,9,9,9,3,8,8,6,,7,5,6,7,7,8,9,7,4,7,4,3,8,,8,,4,5,7,7,4,4,7,4,2,8,9,8,8,8,,6,5,8,7,6,5,8,5,5,6,5,6,7,6,6,7,10,0,0,1,1,1,1,1,1,0,0,1,8,5,8,7,8,10,9,9,9,57,50,50,60,,1,1,2,1,,,2,1,1,2,2,2,1,5,4,2,3,1,3,3,5,0,3,5,3,4,
554,20210501-shapefuture-b-session1-b,20210502-shapefuture-b-session1-d,3,10,8,8,9,8,5,10,0,8,0,8,3,7,8,9,9,2,9,5,7,4,8,9,9,9,1,1,9,9,0,0,3,2,8,8,8,2,2,8,7,5,0,2,10,2,3,8,10,6,8,10,2,7,2,9,5,7,4,6,7,8,5,3,6,8,10,10,5,10,1,1,1,0,1,1,1,1,0,1,1,9,3,7,9,2,7,5,7,8,70,15,60,65,,1,1,1,,1,,1,1,1,2,2,1,4,2,2,1,1,1,5,5,8,7,2,2,1,1,
555,20210501-shapefuture-b-session2-b,20210502-shapefuture-b-session2-f,6,10,6,7,4,6,3,7,2,9,1,5,5,7,6,7,8,4,7,5,8,4,5,3,7,8,3,7,7,10,3,6,6,4,8,5,5,3,2,7,4,7,1,1,7,5,5,9,8,8,7,8,,7,5,8,2,2,2,7,5,8,6,4,4,8,8,8,2,10,1,1,1,1,1,1,1,1,1,1,1,8,2,2,5,1,6,6,0,3,85,15,61,78,,1,1,1,,1,,1,1,1,2,2,1,1,1,1,1,1,1,3,3,7,4,2,1,2,2,
556,20210501-shapefuture-b-session1-a,20210502-shapefuture-b-session1-f,5,5,5,7,6,5,10,10,7,8,2,5,5,4,10,8,8,9,6,7,5,3,6,6,4,3,3,5,6,6,6,6,6,6,4,2,6,6,9,8,4,7,5,7,10,6,5,7,4,4,6,5,3,5,5,5,5,6,6,6,3,4,4,6,5,5,8,5,3,9,0,1,1,1,0,1,1,0,0,0,0,3,7,7,5,5,6,6,5,6,50,39,52,51,,1,1,1,,2,,1,1,2,2,2,2,4,1,4,2,4,3,6,3,1,0,4,1,,5,
557,20210501-shapefuture-a-session1-n,20210502-shapefuture-a-session1-l,7,7,7,5,7,2,3,9,3,6,3,9,4,7,8,8,10,3,9,7,9,7,9,9,9,7,8,8,8,4,4,5,4,4,8,5,6,5,1,6,8,7,2,1,6,,5,9,9,8,9,9,7,7,8,10,7,7,6,,6,6,6,3,5,9,9,8,10,10,1,1,1,0,1,1,0,1,1,1,1,7,4,8,8,9,10,8,7,8,50,50,50,50,,1,1,2,2,,,1,1,1,2,2,2,4,1,1,1,1,1,6,5,8,5,3,1,5,5,
558,20210501-shapefuture-a-session1-e,20210502-shapefuture-a-session1-j,7,9,8,8,2,10,3,10,0,10,1,8,7,9,7,8,10,0,8,7,8,5,6,9,8,7,0,4,2,9,3,0,2,1,8,8,5,0,1,9,8,5,0,2,10,6,6,8,8,10,8,9,4,8,3,9,4,9,3,8,8,7,7,2,4,9,7,9,,,1,1,1,1,1,1,1,1,1,1,1,10,5,9,9,7,8,8,8,8,78,30,66,66,,2,2,1,,1,,2,2,1,2,2,1,4,7,1,1,1,1,2,1,8,1,2,7,2,1,
559,20210501-shapefuture-a-session2-r,20210502-shapefuture-a-session2-v,6,8,10,10,9,8,10,9,2,8,2,10,3,10,9,9,9,6,9,7,8,8,8,8,9,9,7,8,9,8,3,9,0,0,9,3,10,3,1,7,9,9,3,5,9,7,5,10,10,9,9,9,6,9,5,10,6,6,4,9,9,6,6,3,4,10,9,6,6,10,0,0,1,1,1,1,1,1,0,1,1,10,9,9,10,6,10,8,6,10,70,43,,35,,1,1,1,,1,,1,1,1,2,2,1,2,,2,1,2,1,3,3,6,3,1,8,3,2,
560,20210501-shapefuture-b-session2-c,20210502-shapefuture-b-session2-d,10,3,4,8,1,0,0,3,10,0,9,2,7,8,10,10,7,0,10,2,8,6,6,1,7,9,3,10,9,0,9,10,7,1,6,3,0,6,4,0,0,4,10,10,1,1,0,9,6,8,8,1,9,9,8,10,8,7,8,8,9,5,6,6,6,9,10,9,10,10,1,1,1,1,1,1,1,1,1,1,1,10,1,6,8,2,7,8,6,8,1,77,12,1,,1,1,3,,,1,1,1,1,2,2,2,5,6,1,1,2,2,3,3,3,2,4,6,8,7,
561,,,6,9,8,7,8,6,5,8,1,9,3,3,4,8,7,7,9,4,8,7,7,7,7,7,9,8,6,6,8,10,5,5,1,1,7,8,8,6,4,8,6,8,1,2,10,7,7,9,8,7,7,7,4,6,4,8,6,4,2,6,8,7,5,6,6,8,8,5,7,7,1,1,1,0,1,1,0,0,0,0,1,10,5,8,9,8,10,9,10,10,65,35,35,70,,1,1,1,,1,,2,1,1,2,2,3,5,4,2,2,2,2,5,3,2,1,4,4,2,3,
562,20210501-shapefuture-b-session2-b,20210502-shapefuture-b-session2-a,6,10,7,10,6,10,4,10,1,10,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,10,0,0,10,10,10,0,5,10,4,10,4,10,10,8,8,10,10,10,10,10,4,10,0,10,0,0,0,8,6,6,6,8,7,10,6,6,4,10,1,1,1,1,1,1,1,1,1,1,1,9,2,9,9,5,6,8,8,8,41,4,26,30,,1,1,2,1,,,1,1,5,2,2,2,1,,2,2,1,1,4,4,7,2,4,8,1,2,
563,,,3,10,7,9,9,8,7,10,1,8,0,10,3,7,9,9,9,4,9,6,9,6,6,8,9,10,10,10,10,9,2,8,3,3,8,10,9,1,3,8,10,8,1,1,10,,,8,8,8,8,9,5,10,7,10,6,10,9,4,3,7,4,2,2,9,4,8,2,10,0,1,1,1,1,1,1,1,0,1,1,10,2,6,8,1,8,4,6,7,81,1,40,55,,1,1,1,,2,,1,2,1,2,2,1,3,6,2,2,1,1,4,3,4,0,2,6,1,1,
